Ndex 	MS 	Pokémon 	Type	
#460 	460	Abomasnow 	Grass 	Ice
#063 	63	Abra 	Psychic	
#359 	359	Absol 	Dark	
#617 	617	Accelgor 	Bug	
#681 	681	Aegislash 	Steel 	Ghost
#142 	142	Aerodactyl 	Rock 	Flying
#306 	306	Aggron 	Steel 	Rock
#190 	190	Aipom 	Normal	
#065 	65	Alakazam 	Psychic	
#594 	594	Alomomola 	Water	
#334 	334	Altaria 	Dragon 	Flying
#698 	698	Amaura 	Rock 	Ice
#424 	424	Ambipom 	Normal	
#591 	591	Amoonguss 	Grass 	Poison
#181 	181	Ampharos 	Electric	
#347 	347	Anorith 	Rock 	Bug
#024 	24	Arbok 	Poison	
#059 	59	Arcanine 	Fire	
#493 	493	Arceus 	Normal	
#566 	566	Archen 	Rock 	Flying
#567 	567	Archeops 	Rock 	Flying
#168 	168	Ariados 	Bug 	Poison
#348 	348	Armaldo 	Rock 	Bug
#683 	683	Aromatisse 	Fairy	
#304 	304	Aron 	Steel 	Rock
#144 	144	Articuno 	Ice 	Flying
#531 	531	Audino 	Normal	
#699 	699	Aurorus 	Rock 	Ice
#713 	713	Avalugg 	Ice	
#610 	610	Axew 	Dragon	
#482 	482	Azelf 	Psychic	
#184 	184	Azumarill 	Water 	Fairy
#298 	298	Azurill 	Normal 	Fairy
#371 	371	Bagon 	Dragon	
#343 	343	Baltoy 	Ground 	Psychic
#354 	354	Banette 	Ghost	
#689 	689	Barbaracle 	Rock 	Water
#339 	339	Barboach 	Water 	Ground
#550 	550	Basculin 	Water	
#411 	411	Bastiodon 	Rock 	Steel
#153 	153	Bayleef 	Grass	
#614 	614	Beartic 	Ice	
#267 	267	Beautifly 	Bug 	Flying
#015 	15	Beedrill 	Bug 	Poison
#606 	606	Beheeyem 	Psychic	
#374 	374	Beldum 	Steel 	Psychic
#182 	182	Bellossom 	Grass	
#069 	69	Bellsprout 	Grass 	Poison
#712 	712	Bergmite 	Ice	
#400 	400	Bibarel 	Normal 	Water
#399 	399	Bidoof 	Normal	
#688 	688	Binacle 	Rock 	Water
#625 	625	Bisharp 	Dark 	Steel
#009 	9	Blastoise 	Water	
#257 	257	Blaziken 	Fire 	Fighting
#242 	242	Blissey 	Normal	
#522 	522	Blitzle 	Electric	
#525 	525	Boldore 	Rock	
#438 	438	Bonsly 	Rock	
#626 	626	Bouffalant 	Normal	
#654 	654	Braixen 	Fire	
#628 	628	Braviary 	Normal 	Flying
#286 	286	Breloom 	Grass 	Fighting
#437 	437	Bronzong 	Steel 	Psychic
#436 	436	Bronzor 	Steel 	Psychic
#406 	406	Budew 	Grass 	Poison
#418 	418	Buizel 	Water	
#001 	1	Bulbasaur 	Grass 	Poison
#427 	427	Buneary 	Normal	
#659 	659	Bunnelby 	Normal	
#412 	412	Burmy 	Bug	
#012 	12	Butterfree 	Bug 	Flying
#331 	331	Cacnea 	Grass	
#332 	332	Cacturne 	Grass 	Dark
#323 	323	Camerupt 	Fire 	Ground
#703 	703	Carbink 	Rock 	Fairy
#455 	455	Carnivine 	Grass	
#565 	565	Carracosta 	Water 	Rock
#318 	318	Carvanha 	Water 	Dark
#268 	268	Cascoon 	Bug	
#351 	351	Castform 	Normal	
#010 	10	Caterpie 	Bug	
#251 	251	Celebi 	Psychic 	Grass
#609 	609	Chandelure 	Ghost 	Fire
#113 	113	Chansey 	Normal	
#006 	6	Charizard 	Fire 	Flying
#004 	4	Charmander 	Fire	
#005 	5	Charmeleon 	Fire	
#441 	441	Chatot 	Normal 	Flying
#421 	421	Cherrim 	Grass	
#420 	420	Cherubi 	Grass	
