Ndex	Pokémon		HP	Atk	Def	SpAtk	spDef	Speed	Prom
1	Bulbasaur 	45	49	49	65	65	45	53
2	Ivysaur 	60	62	63	80	80	60	67,5
3	Venusaur 	80	82	83	100	100	80	87,5
4	Charmander 	39	52	43	60	50	65	51,5
5	Charmeleon 	58	64	58	80	65	80	67,5
6	Charizard 	78	84	78	109	85	100	89
7	Squirtle 	44	48	65	50	64	43	52,33
8	Wartortle 	59	63	80	65	80	58	67,5
9	Blastoise 	79	83	100	85	105	78	88,33
10	Caterpie 	45	30	35	20	20	45	32,5
11	Metapod 	50	20	55	25	25	30	34,17
12	Butterfree 	60	45	50	80	80	70	64,17
13	Weedle 	40	35	30	20	20	50	32,5
14	Kakuna 	45	25	50	25	25	35	34,17
15	Beedrill 	65	80	40	45	80	75	64,17
16	Pidgey 	40	45	40	35	35	56	41,83
17	Pidgeotto 	63	60	55	50	50	71	58,17
18	Pidgeot 	83	80	75	70	70	91	78,17
19	Rattata 	30	56	35	25	35	72	42,17
20	Raticate 	55	81	60	50	70	97	68,83
21	Spearow 	40	60	30	31	31	70	43,67
22	Fearow 	65	90	65	61	61	100	73,67
23	Ekans 	35	60	44	40	54	55	48
24	Arbok 	60	85	69	65	79	80	73
25	Pikachu 	35	55	30	50	40	90	50
26	Raichu 	60	90	55	90	80	100	79,17
27	Sandshrew 	50	75	85	20	30	40	50
28	Sandslash 	75	100	110	45	55	65	75
29	Nidoran♀ 	55	47	52	40	40	41	45,83
30	Nidorina 	70	62	67	55	55	56	60,83
31	Nidoqueen 	90	82	87	75	85	76	82,5
32	Nidoran♂ 	46	57	40	40	40	50	45,5
33	Nidorino 	61	72	57	55	55	65	60,83
34	Nidoking 	81	92	77	85	75	85	82,5
35	Clefairy 	70	45	48	60	65	35	53,83
36	Clefable 	95	70	73	85	90	60	78,83
37	Vulpix 	38	41	40	50	65	65	49,83
38	Ninetales 	73	76	75	81	100	100	84,17
39	Jigglypuff 	115	45	20	45	25	20	45
40	Wigglytuff 	140	70	45	75	50	45	70,83
41	Zubat 	40	45	35	30	40	55	40,83
42	Golbat 	75	80	70	65	75	90	75,83
43	Oddish 	45	50	55	75	65	30	53,33
44	Gloom 	60	65	70	85	75	40	65,83
45	Vileplume 	75	80	85	100	90	50	80
46	Paras 	35	70	55	45	55	25	47,5
47	Parasect 	60	95	80	60	80	30	67,5
48	Venonat 	60	55	50	40	55	45	50,83
49	Venomoth 	70	65	60	90	75	90	75
50	Diglett 	10	55	25	35	45	95	44,17
51	Dugtrio 	35	80	50	50	70	120	67,5
52	Meowth 	40	45	35	40	40	90	48,33
53	Persian 	65	70	60	65	65	115	73,33
54	Psyduck 	50	52	48	65	50	55	53,33
55	Golduck 	80	82	78	95	80	85	83,33
56	Mankey 	40	80	35	35	45	70	50,83
57	Primeape 	65	105	60	60	70	95	75,83
58	Growlithe 	55	70	45	70	50	60	58,33
59	Arcanine 	90	110	80	100	80	95	92,5
60	Poliwag 	40	50	40	40	40	90	50
61	Poliwhirl 	65	65	65	50	50	90	64,17
62	Poliwrath 	90	85	95	70	90	70	83,33
63	Abra 	25	20	15	105	55	90	51,67
64	Kadabra 	40	35	30	120	70	105	66,67
65	Alakazam 	55	50	45	135	85	120	81,67
66	Machop 	70	80	50	35	35	35	50,83
67	Machoke 	80	100	70	50	60	45	67,5
68	Machamp 	90	130	80	65	85	55	84,17
69	Bellsprout 	50	75	35	70	30	40	50
70	Weepinbell 	65	90	50	85	45	55	65
71	Victreebel 	80	105	65	100	60	70	80
72	Tentacool 	40	40	35	50	100	70	55,83
73	Tentacruel 	80	70	65	80	120	100	85,83
74	Geodude 	40	80	100	30	30	20	50
75	Graveler 	55	95	115	45	45	35	65
76	Golem 	80	110	130	55	65	45	80,83
77	Ponyta 	50	85	55	65	65	90	68,33
78	Rapidash 	65	100	70	80	80	105	83,33
79	Slowpoke 	90	65	65	40	40	15	52,5
80	Slowbro 	95	75	110	100	80	30	81,67
81	Magnemite 	25	35	70	95	55	45	54,17
82	Magneton 	50	60	95	120	70	70	77,5
83	Farfetch'd 	52	65	55	58	62	60	58,67
84	Doduo 	35	85	45	35	35	75	51,67
85	Dodrio 	60	110	70	60	60	100	76,67
86	Seel 	65	45	55	45	70	45	54,17
87	Dewgong 	90	70	80	70	95	70	79,17
88	Grimer 	80	80	50	40	50	25	54,17
89	Muk 	105	105	75	65	100	50	83,33
90	Shellder 	30	65	100	45	25	40	50,83
91	Cloyster 	50	95	180	85	45	70	87,5
92	Gastly 	30	35	30	100	35	80	51,67
93	Haunter 	45	50	45	115	55	95	67,5
94	Gengar 	60	65	60	130	75	110	83,33
95	Onix 	35	45	160	30	45	70	64,17
96	Drowzee 	60	48	45	43	90	42	54,67
97	Hypno 	85	73	70	73	115	67	80,5
98	Krabby 	30	105	90	25	25	50	54,17
99	Kingler 	55	130	115	50	50	75	79,17
100	Voltorb 	40	30	50	55	55	100	55
101	Electrode 	60	50	70	80	80	140	80
102	Exeggcute 	60	40	80	60	45	40	54,17
103	Exeggutor 	95	95	85	125	65	55	86,67
104	Cubone 	50	50	95	40	50	35	53,33
105	Marowak 	60	80	110	50	80	45	70,83
106	Hitmonlee 	50	120	53	35	110	87	75,83
107	Hitmonchan 	50	105	79	35	110	76	75,83
108	Lickitung 	90	55	75	60	75	30	64,17
109	Koffing 	40	65	95	60	45	35	56,67
110	Weezing 	65	90	120	85	70	60	81,67
111	Rhyhorn 	80	85	95	30	30	25	57,5
112	Rhydon 	105	130	120	45	45	40	80,83
113	Chansey 	250	5	5	35	105	50	75
114	Tangela 	65	55	115	100	40	60	72,5
115	Kangaskhan 	105	95	80	40	80	90	81,67
116	Horsea 	30	40	70	70	25	60	49,17
117	Seadra 	55	65	95	95	45	85	73,33
118	Goldeen 	45	67	60	35	50	63	53,33
119	Seaking 	80	92	65	65	80	68	75
120	Staryu 	30	45	55	70	55	85	56,67
121	Starmie 	60	75	85	100	85	115	86,67
122	Mr. Mime 	40	45	65	100	120	90	76,67
123	Scyther 	70	110	80	55	80	105	83,33
